,dcID,RID
544,34013012000d0,750703
545,34013012800d0,606406
546,34013012100d0,1095087
547,34013012300d0,606154
548,34013012800d1,324554
549,34013013100d0,602685
550,34013013000d0,919543
551,34013012800d2,324553
552,34013012600d0,326346
553,34013012000d1,608072
554,34013012200d0,323187
555,34013013100d1,321442
556,34013013200d0,918419
557,34013013100d2,602676
558,34013012300d1,324384
559,34013012900d0,35484
560,34013013300d0,33567
561,34013012000d2,917911
562,34013012000d3,604596
563,34013012700d0,607571
564,34013012900d1,326536
565,34013011900d0,325305
566,34013012200d1,1227099
567,34013011900d1,1279176
568,34013012700d1,34387
569,34013012000d4,169460
570,34013012300d2,606157
571,34013012800d3,324553
572,34013012000d5,608547
573,34013012000d6,329103
574,34013012200d2,1093849
575,34013012100d1,1094562
576,34013012100d2,604592
577,34013012300d3,917717
578,34013013200d1,750068
579,34013013300d1,605003
580,34013011900d2,326342
581,34013013100d3,321440
582,34013012200d3,750699
583,34013011900d3,606261
584,34013012000d7,750704
585,34013011900d4,607651
586,34013012600d1,324390
587,34013013000d1,327318
588,34013012600d2,329326
589,34013011900d5,326342
590,34013012100d3,1095087
591,34013011900d6,325534
592,34013012200d4,1093256
593,34013011900d7,608596
594,34013012200d5,919444
595,34013012100d4,322140
596,34013012100d5,322142
597,34013012400d0,323548
598,34013013100d4,750071
599,34013013100d5,326538
600,34013011900d8,606261
601,34013020800d0,34897
602,34013020600d0,323331
603,34013020800d1,325202
604,34013020500d0,918643
605,34013020700d0,35714
606,34013020700d1,324181
607,34013020600d1,919482
608,34013020700d2,36097
609,34013020400d0,169608
610,34013020500d1,604576
611,34013020500d2,323328
612,34013020500d3,329301
613,34013020800d2,34531
614,34013020400d1,606100
615,34013020500d4,1094358
616,34013020500d5,1093297
617,34013020600d2,919292
618,34013020800d3,1094042
619,34013020400d2,169608
620,34013020600d3,327248
621,34013020400d3,322988
622,34013020800d4,607459
623,34013019600d0,604588
624,34013019600d1,33846
625,34013019400d0,322934
626,34013019900d0,324948
627,34013019700d0,168635
628,34013019800d0,604397
629,34013019600d2,322027
630,34013019500d0,322952
631,34013019600d3,604484
632,34013019600d4,322027
633,34013019800d1,1092838
634,34013019700d1,1226361
635,34013019500d1,322951
636,34013019700d2,1227120
637,34013019700d3,608499
638,34013019900d1,605998
639,34013019700d4,917701
640,34013019500d2,607990
641,34013019700d5,168635
642,34013019500d3,33826
643,34013019700d6,326129
644,34013019900d2,324027
645,34013019800d2,750286
646,34013020200d0,751205
647,34013020300d0,34135
648,34013020300d1,1092742
649,34013020300d2,35229
650,34013020200d1,1095018
651,34013020300d3,919102
652,34013017100d0,324626
653,34013016600d0,35765
654,34013017000d0,327337
655,34013017100d1,323405
656,34013016800d0,323401
657,34013016800d1,324438
658,34013017100d2,605738
659,34013016100d0,605656
660,34013016400d0,328350
661,34013016800d2,325693
662,34013017000d1,322689
663,34013016200d0,602711
664,34013016600d1,750449
665,34013016500d0,325630
666,34013017100d3,605738
667,34013017200d0,33735
668,34013016800d3,751343
669,34013016200d1,326544
670,34013017100d4,1226211
671,34013016600d2,791872
672,34013016000d2,602808
673,34013016800d4,324437
674,34013016100d1,605656
675,34013017100d5,605738
676,34013016500d1,750105
677,34013017000d2,322689
678,34013016600d3,750451
679,34013016800d5,605555
680,34013016800d6,325693
681,34013004500d0,605730
682,34013002400d0,325250
683,34013007100d0,327437
684,34013000700d0,608335
685,34013001400d0,327627
686,34013004802d0,323888
687,34013023000d0,1094212
688,34013008100d0,1093162
689,34013008000d0,604546
690,34013005000d0,323062
691,34013000500d0,791743
692,34013001900d0,603645
693,34013008000d1,604548
694,34013002500d0,918048
695,34013007600d0,606367
696,34013009600d0,607290
697,34013009700d0,608344
698,34013003800d0,750978
699,34013004400d0,602786
700,34013000900d0,321729
701,34013022900d0,169186
702,34013006800d0,791748
703,34013005000d1,325068
704,34013001500d0,323782
705,34013022900d1,1092826
706,34013007900d0,324867
707,34013000500d1,751455
708,34013002202d0,606152
709,34013000500d2,791742
710,34013003100d0,791677
711,34013005400d0,751271
712,34013005200d0,750955
713,34013006200d0,326661
714,34013006200d1,1226227
715,34013000600d0,750897
716,34013007501d0,323498
717,34013009300d0,34822
718,34013008100d1,329008
719,34013001800d0,602870
720,34013006600d0,328788
